L1,AP,AS,M1,DP,BS
L2,DP,BS,M2,AP,AS
L3,DP,BS,M3,AP,AS
L4,AP,AS,M4,DP,BS
L5,BP,CS,M5,CP,DS
L6,CP,DS,M6,BP,CS
L7,CP,DS,M7,BP,CS
L8,BP,CS,M8,CP,DS
L9,AP,ES,M9,DP,FS
L10,DP,FS,M10,AP,ES
L11,DP,FS,M11,AP,ES
L12,AP,ES,M12,DP,FS
L13,BP,GS,M13,CP,HS
L14,CP,HS,M14,BP,GS
L15,CP,HS,M15,BP,GS
L16,BP,GS,M16,CP,HS
L17,AP,AS,M17,DP,BS
L18,DP,BS,M18,AP,AS
L19,DP,BS,M19,AP,AS
L20,AP,AS,M20,DP,BS
L21,BP,CS,M21,CP,DS
L22,CP,DS,M22,BP,CS
L23,CP,DS,M23,BP,CS
L24,BP,CS,M24,CP,DS
L25,AP,ES,M25,DP,FS
L26,DP,FS,M26,AP,ES
L27,DP,FS,M27,AP,ES
L28,AP,ES,M28,DP,FS
L29,BP,GS,M29,CP,HS
L30,CP,HS,M30,BP,GS
L31,CP,HS,M31,BP,GS
L32,BP,GS,M32,CP,HS
